bibtexkey,authors,year,entry_type,address,annote,book_title,chapter,crossref,edition,editors,how_published,institution,journal,month,note,number,organization,pages,publisher,school,title,volume,publication_history,series,designation
Pinches1896CT2,"Pinches, Theophilus G.",1896,book,London,,,,,,,,,,,,2,,,"The Trustees of the British Museum",,,,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 2"
King1898CT3,"King, Leonard W.",1898,book,,,,,,,,,,,,,3,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 3"
Pinches1898CT4,"Pinches, Theophilus G.",1898,book,London,,,,,,,,,,,,4,,,"The Trustees of the British Museum",,,,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 4"
King1898CT5,"King, Leonard W.",1898,book,,,,,,,,,,,,,5,,,,,"Cuneiform Texts",,,"Cuneiform texts from Babylonian tablets in the British Museum","CT 5"
Pinches1898CT6,"Pinches, Theophilus G.",1898,book,London,,,,,,,,,,,,6,,,"The Trustees of the British Museum",,,,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 6"
King1899CT7,"King, Leonard W.",1899,book,,,,,,,,,,,,,7,,,,,"Cuneiform texts",,,"Cuneiform texts from Babylonian tablets in the British Museum","CT 7"
Pinches1899CT8,"Pinches, Theophilus G.",1899,book,London,,,,,,,,,,,,8,,,"The Trustees of the British Museum",,,,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 8"
King1900CT9,"King, Leonard W.",1900,book,,,,,,,,,,,,,,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 9"
King1900CT10,"King, Leonard W.",1900,book,,,,,,,,,,,,,10,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian Tablets in the British Museum","CT 10"
Thompson1900CT11,"Thompson, R. Campbell",1900,book,,,,,,,,,,,,,11,,,,,"Cuneiform Texts",,,"Cuneiform Texts from Babylonian tablets in the British Museum","CT 11"
Thompson1901CT12,"Thompson, R. Campbell",1901,book,,,,,,,,,,,,,12,,,,,"Cuneiform Texts",,,"Cuneiform Texts From Babylonian Tablets In The British Museum","CT 12"
King1901CT13,"King, Leonard W.",1901,book,,,,,,,,,,,,,13,,,,,"Cuneiform Texts",,,"Cuneiform Texts From Babylonian Tablets In The British Museum","CT 13"
Thompson1902CT14,"Thompson, R. Campbell",1902,book,,,,,,,,,,,,,14,,,,,"Cuneiform Texts",,,"Cuneiform Texts From Babylonian Tablets In The British Museum","CT 14"
King1902CT15,"King, Leonard W.",1902,book,,,,,,,,,,,,,15,,,,,"Cuneiform Texts",,,"Cuneiform Texts From Babylonian Tablets In The British Museum","CT 15"
Thompson1904CT16,"Thompson, R. Campbell",1904,book,,,,,,,,,,,,,16,,,,,"Cuneiform Texts",,,"Cuneiform Texts From Babylonian Tablets In The British Museum","CT 16"
