artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
237717,"BM —","CT 17, pl. 34-36, DT 038","Pinches1891_4R2; Römer1989Bann; sec38321; sec38323; Thompson1903-4Devils; Thompson1903CT17","history; history; history; history; history; primary","Additions p. 3 (rev.); p. 466, 467-479 (text A2); ; ; Thompson, Devils 2, 1904, 118-125; pl. 34-36, DT 038","; ; ; ; ; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Literary,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"DT 038",,,,0,,0,,0,,0,,"eBL; BLMS; ARMEP; AsbP; BM","DT.38; P237717; P237717; P237717; W_DT-38"," bil inc",0,0,,,0,0,0,0,,
238190,"BM —","CT 17, pl. 41, K 02873","Thompson1903-4Devils; Thompson1903CT17","history; primary","Thompson, Devils 2, 1904, 134-135; pl. 41, K 02873","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Literary,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 02873",,,,0,,0,,0,,1,,"eBL; AsbP; BM","K.2873; P238190; W_K-2873"," bil inc rit - school tablet ?",0,0,,,0,0,0,0,,
240257,"BM —","CT 17, pl. 37, Sm 0291",Thompson1903CT17,primary,"pl. 37, Sm 0291",,"Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",Literary,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"Sm 0291",,,,0,,0,,0,,0,,"eBL; ARMEP; AsbP","Sm.291; P240257; P240257"," bil inc",0,0,,,0,0,0,0,,
286070,"BM 134507 + ","CT 51, 209","sec55764; Thompson1903CT17; Walker1972CT51","history; history; primary","; pl. 42-45 (K 7918); 209","; ; ","Nineveh (mod. Kuyunjik)",,,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,,,,,,,,"K 07918 + 1932-12-12, 0502",,,,0,,0,,0,,0,,"eBL; AsbP; BM","K.7918; P286070; W_K-7918",,,,,,0,0,0,0,,
393876,"BM —","CT 17, pl. 31-32, K 1283","Thompson1903-4Devils; Thompson1903CT17","history; primary","Thompson Devils 2, 104-111; pl. 31-32, K 1283","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 01283",,,,0,,0,,0,,0,,"eBL; ARMEP; AsbP; BM","K.1283; P393876; P393876; W_K-1283",,,0,,,0,0,0,0,,
393877,"BM —","CT 17, pl. 29-30, K 1284","Thompson1903-4Devils; Thompson1903CT17","history; primary","Thompson Devils 2, 98-103; pl. 29-30, K 1284","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 01284 + K 14230 + K 08424 + K 17955",,,,0,,0,,0,,0,,"eBL; eBL; eBL; eBL; ARMEP; AsbP; BM","K.1284; K.14230; K.17955; K.8424; P393877; P393877; W_K-8424",,,0,,,0,0,0,0,,
394216,"BM —","CT 17, pl. 42-45, K 2148+","sec102391; Thompson1903CT17","history; primary","; pl. 42-45, K 2148+","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 02148 + K 08337 + K 08766 + K 09731 + K 13806 + K 18510",,,,0,,0,,0,,0,,"eBL; eBL; eBL; eBL; eBL; eBL; AsbP; BM","K.13806; K.18510; K.2148; K.8337; K.8766; K.9731; P394216; W_K-2148",,,0,,,0,0,0,0,,
394383,"BM —","CT 17, pl. 04-08, K 2375","Thompson1903-4Devils; Thompson1903CT17","history; primary","Thompson Devils 2, 12-27; pl. 04-08, K 2375","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 02375 + K 12732 + K 04883",,,,0,,0,,0,,0,,"eBL; eBL; eBL; ARMEP; AsbP; BM","K.12732; K.2375; K.4883; P394383; P394383; W_K-2375",,,0,,,0,0,0,0,,
394384,"BM —","CT 17, pl. 02, K 2503+","Langdon1913BL; Thompson1903-4Devils; Thompson1903CT17; Virolleaud1907Babyloniaca1","history; history; primary; history","191; Thompson Devils 2, 8-9; pl. 02, K 2503+; 206 (K 06943)","; ; ; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 02377 + K 02503 + K 06943 + K 07819 + K 10377 + K 13490  ",,,,0,,0,,0,,0,,"eBL; eBL; eBL; eBL; eBL; eBL; ARMEP; AsbP","K.10377; K.13490; K.2377; K.2503; K.6943; K.7819; P394384; P394384",,,0,,,0,0,0,0,,
394665,"BM —","CT 17, pl. 09-11, K 2770","Thompson1903-4Devils; Thompson1903CT17","history; primary","Thompson Devils 2, 28-37; pl. 09-11, K 2770","; ","Nineveh (mod. Kuyunjik)","Neo-Assyrian (ca. 911-612 BC)",,"British Museum, London, UK",,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"K 02770",,,,0,,0,,0,,0,,"eBL; ARMEP; AsbP; BM","K.2770; P394665; P394665; W_K-2770",,,0,,,0,0,0,0,,
