artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
355749,"BM 078176 + BM 139968","CT 04, pl. 01-02, Bu 1888-05-12, 0005","Charpin2004OBO160/4; Frankena1966AbB2; Pinches1898CT4; Powell1996JAOS116; sec91533; sec91536; sec91537; vanSoldt1994AbB13","history; history; primary; history; history; history; history; history","p. 359; 88; 1-2; ; ; ; ; 60","; ; ; ; ; ; ; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Babylonian (ca. 1900-1600 BC)",00.00.00.00,"British Museum, London, UK",Letter,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"1888-05-12 Bu, 0005",,,,0,,0,,0,,0,,"eBL; BM","BM.78176; W_1888-0512-Bu-5"," ",0,0,,,0,0,0,0,,
355750,"BM 078755 & BM 078756","CT 04, pl. 01, Bu 1888-05-12, 0675","Dekiere1994MHET2/2; Kohler1909HG3; Pinches1898CT4; Schorr1913UAZP; Suurmeijer2014property; Woestenburg1998reviewMHET2/1-4","history; history; primary; history; history; collation","328; n. 463; 1b; n. 208; App. p.  100-101; p. 353 (coll.)","(with envelope); ; ; ; ; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Babylonian (ca. 1900-1600 BC)",Hammurapi.--.--.--,"British Museum, London, UK",Legal,clay,"tablet & envelope",,,,,,,,,,,,,,,,,,,S999999,"1888-05-12 Bu, 0675 & 1888-05-12 Bu, 0676",,,,0,,0,,0,,0,,,,"Bequest ",0,,,,0,0,0,0,,
355751,"BM 092503","CT 04, pl. 03, Bu 1888-05-12, 0006",Pinches1898CT4,primary,3,,"Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Babylonian (ca. 1900-1600 BC)",00.00.00.00,"British Museum, London, UK",Incantation,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"1888-05-12 Bu, 0006",,,,0,,0,,0,,0,,"eBL; ARMEP; BM","BM.92503; P355751; W_1888-0512-Bu-6","incantation ",0,0,,,0,0,0,0,,
355752,"BM 092504","CT 04, pl. 04, Bu 1888-05-12, 0007",Pinches1898CT4,primary,4,,"Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Babylonian (ca. 1900-1600 BC)",00.00.00.00,"British Museum, London, UK",Incantation,clay,tablet,,,,,,,,,,,,,,,,,,,,"1888-05-12 Bu, 0007",,,,0,,0,,0,,0,,"eBL; ARMEP; BM","BM.92504; P355752; W_1888-0512-Bu-7","incantation ",0,,,,0,0,0,0,,
355753,"BM 078179","CT 04, pl. 05-06, Bu 1888-05-12, 0011","Pinches1898CT4; sec91541","primary; history","5-6b; ","; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Achaemenid (547-331 BC)",,"British Museum, London, UK","Astral sciences",clay,tablet,,,,,,,,,,,,,,,,,,,,"1888-05-12 Bu, 0011",,,,0,,0,,0,,0,,"eBL; BM","BM.78179; W_1888-0512-Bu-11","hemerology ",0,,,,0,0,0,0,,
355754,"BM 080700","CT 04, pl. 06, Bu 1891-05-09, 0838","DombardiZA90; Goddeeris2002economy; Kohler1909HG3; Pinches1898CT4; Schorr1913UAZP","history; history; history; primary; history","59-61; p. 137; 129; 6a; 315","; ; ; ; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Babylonian (ca. 1900-1600 BC)",00.00.05.00,"British Museum, London, UK",Legal,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"1891-05-09 Bu, 0838",,,,0,,0,,0,,0,,"eBL; BM","BM.80700; W_1891-0509-838"," Litigation",0,0,,,0,0,0,0,,
355755,"BM 078201","CT 04, pl. 07, Bu 1888-05-12, 0038","Goddeeris2002economy; Kohler1909HG3; Pinches1898CT4; Schorr1913UAZP","history; history; primary; history","p. 70; 705; 7a; 310","; ; ; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Babylonian (ca. 1900-1600 BC)",Apil-Sin.11.00.00,"British Museum, London, UK",Legal,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"1888-05-12 Bu, 0038",,,,0,,0,,0,,0,,"eBL; BM","BM.78201; W_1888-0512-Bu-38"," ",0,0,,,0,0,0,0,,
355756,"BM 078771 & BM 078772","MHET 2/3, 437","Dekiere1995MHET2/3; Pinches1898CT4","primary; history","437; 7b","; Tablet only","Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Babylonian (ca. 1900-1600 BC)",Samsu-iluna.22.11.24,"British Museum, London, UK",Legal,clay,"tablet & envelope",,,,,,,,,,,,,,,,,,,,"1888-05-12 Bu, 0699 & 1888-05-12 Bu, 0700",,,,0,,0,,0,,0,,"eBL; BM","BM.78771; W_1888-0512-Bu-699"," ",0,,,,0,0,0,0,,
355757,"BM 092518","CT 04, pl. 08, Bu 1888-05-12, 0051",Pinches1898CT4,primary,8a,,"Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Babylonian (ca. 1900-1600 BC)",00.00.00.00,"British Museum, London, UK",Incantation,clay,tablet,,,,,,,,,,,,,"Akkadian; Sumerian",,,,,,,"1888-05-12 Bu, 0051",,,,0,,0,,0,,0,,"eBL; ARMEP; BM","BM.92518; P355757; W_1888-0512-Bu-51","incantation ",0,"0; 0",,,0,0,0,0,,
355758,"BM 078210","CT 04, pl. 08, Bu 1888-05-12, 0061","Pinches1898CT4; sec91544","primary; history","8b; ","; ","Sippar-Yahrurum (mod. Tell Abu Habbah)","Old Babylonian (ca. 1900-1600 BC)",Samsu-ditana.07.12.20,"British Museum, London, UK",Administrative,clay,tablet,,,,,,,,,,,,,Akkadian,,,,,,,"1888-05-12 Bu, 0061",,,,0,,0,,0,,0,,"eBL; BM","BM.78210; W_1888-0512-Bu-61"," ",0,0,,,0,0,0,0,,
