artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
221708,"Erm 14001","Nik 1, 001","Nikol'skij1908; Selz1989FAOS15/1","primary; history","001; Nik 1","; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Urukagina_l.02.00.00,"State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
221709,"Erm 14002","Nik 1, 002","Nikol'skij1908; Selz1989FAOS15/1","primary; history","002; Nik 2","; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Urukagina_l.04.00.00,"State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
221710,"Erm 14003","Nik 1, 003","Englund1990Fischerei; Nikol'skij1908; Selz1989FAOS15/1","citation; primary; history","p. 53 n. 181 (rev. viii); 003; Nik 3","; ; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Urukagina_l.05.00.00,"State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
221711,"Erm 14336","Nik 1, 004","Nikol'skij1908; Selz1989FAOS15/1","primary; history","004; Nik 4","; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Lugalanda.00.00.00,"State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",1,0,,,0,0,0,0,,
221712,"Erm 14005","Nik 1, 005","Nikol'skij1908; Selz1989FAOS15/1","primary; history","005; Nik 5","; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Urukagina_l.06.00.00,"State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
221713,"Erm 14006","Nik 1, 006","Nikol'skij1908; Selz1989FAOS15/1","primary; history","006; Nik 6","; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Urukagina_l.04.00.00,"State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
221714,"Erm 14007","Nik 1, 007","Nikol'skij1908; Selz1989FAOS15/1","primary; history","007; Nik 7","; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)","Urukagina_l.05.00.00 ?","State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
221715,"Erm 14008","Nik 1, 008","Nikol'skij1908; Selz1989FAOS15/1","primary; history","008; Nik 8","; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Urukagina_l.01.00.00,"State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
221716,"Erm 14009","Nik 1, 009","Nikol'skij1908; Selz1989FAOS15/1","primary; history","009; Nik 9","; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Urukagina_e.01.00.00,"State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
221717,"Erm 14010","Nik 1, 010","Nikol'skij1908; Selz1989FAOS15/1","primary; history","010; Nik 10","; ","Girsu (mod. Tello)","ED IIIb (ca. 2500-2340 BC)",Enentarzi.01.00.00,"State Hermitage Museum, St. Petersburg, Russian Federation",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
