artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
10549,"AO 00410","RTC 001","Edzard1976Wirtschaftstexte; Pomponio1987Fara; Thureau-Dangin1903RTC","citation; citation; primary","p. 168; XVIf.; 1","; ; ","Girsu (mod. Tello)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"AOTa 003",,,,0,,0,,0,,0,,,," workers.",0,0,,,0,0,0,0,,
10550,"AO 02767","RTC 010","Edzard1976Wirtschaftstexte; Kramer1932Fara; Pomponio1994EDATS; Thureau-Dangin1903RTC","citation; citation; history; primary","p. 168; 119; 3 (7); 10","; ; ; ","Shuruppak (mod. Fara)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"AOTa 014",,,,0,,0,,0,,0,,Louvre,cl010151963," wool",0,0,,,0,0,0,0,,
10551,"AO 02765","RTC 011","Edzard1976Wirtschaftstexte; Kramer1932Fara; Pomponio1994EDATS; Thureau-Dangin1903RTC","citation; citation; history; primary","p. 168; 119; 3 (7); 11","; ; ; ","Shuruppak (mod. Fara)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"AOTa 012",,,,0,,0,,0,,0,,Louvre,cl010151942," wool",0,0,,,0,0,0,0,,
10552,"AO 03765","RTC 012","Edzard1968SRU; Edzard1976Wirtschaftstexte; Kramer1932Fara; Pomponio1987Fara; Thureau-Dangin1903RTC","citation; citation; citation; citation; primary","62; p. 168; 119; XIV; 12","; ; ; ; ","Shuruppak (mod. Fara)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,Wikidata,Q62098521," present (house, slave).",0,0,,,0,0,0,0,,
10553,"AO 03766","RTC 013","Edzard1968SRU; Edzard1976Wirtschaftstexte; Gelb1991OIP104; Gelb1991OIP104; Kramer1932Fara; Pomponio1987Fara; Thureau-Dangin1903RTC","citation; citation; history; citation; citation; citation; primary","26; p. 168; 104; 104; 119; XIV; 13","; ; ; ; ; ; ","Shuruppak (mod. Fara)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,Wikidata,Q62100712," house purchase.",0,0,,,0,0,0,0,,
10554,"AO 02762","RTC 014","Edzard1968SRU; Edzard1976Wirtschaftstexte; Gelb1991OIP104; Gelb1991OIP104; Kramer1932Fara; Pomponio1987Fara; Thureau-Dangin1903RTC","citation; citation; history; citation; citation; citation; primary","7; p. 169; 130; 130; 119; XIV; 14","; ; ; ; ; ; ","Shuruppak (mod. Fara)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"AOTa 010",,,,0,,0,,0,,0,,Louvre,cl010151907," field purchase.",0,0,,,0,0,0,0,,
10555,"AO 02764","RTC 015","Edzard1968SRU; Edzard1976Wirtschaftstexte; Gelb1991OIP104; Gelb1991OIP104; Kramer1932Fara; Pomponio1987Fara; Thureau-Dangin1903RTC","citation; citation; history; citation; citation; citation; primary","8; p. 169; 131; 131; 119; XIV; 15","; ; ; ; ; ; ","Shuruppak (mod. Fara)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"AOTa 011",,,,0,,0,,0,,0,,Louvre,cl010151931," field purchase.",0,0,,,0,0,0,0,,
10556,"AO 00407","RTC 002","Edzard1976Wirtschaftstexte; Pomponio1987Fara; Thureau-Dangin1903RTC","citation; citation; primary","p. 168; XVIf.; 2","; ; ","Girsu (mod. Tello)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,33.0,17.0,31.0,,,,,,,,,,Sumerian,,,,,,,"AOTa 004",,,,0,,0,,0,,0,,Louvre,cl010125613," small cattle.",0,0,,,0,0,0,0,,
10557,"AO 00412","RTC 003","Edzard1976Wirtschaftstexte; Pomponio1987Fara; Thureau-Dangin1903RTC","citation; citation; primary","p. 168; XVIf.; 3","; ; ","Girsu (mod. Tello)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"AOTa 015",,,,0,,0,,0,,0,,Louvre,cl010125619," workers.",0,0,,,0,0,0,0,,
10558,"AO 00406","RTC 004","Edzard1976Wirtschaftstexte; Pomponio1987Fara; Thureau-Dangin1903RTC","citation; citation; primary","p. 168; XVIf.; 4","; ; ","Girsu (mod. Tello)","ED IIIa (ca. 2600-2500 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,"AOTa 005",,,,0,,0,,0,,0,,Louvre,cl010125612," fields.",0,0,,,0,0,0,0,,
