artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
101740,"Ist L 05493","TCTI 3, 05493","Çig1976AOAT25; deGenouillac1912ITT3","history; primary","082, 14; 05493","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)","Šulgi.38.06.00 (us2 year)","Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,018368," ",0,0,,,0,0,0,0,,
110780,"Ist L 00910 + Ist L 23903 + Ist L 28665","ITT 2, 00910+","deGenouillac1912ITT3; Genouillac1910-1911ITT2; Lafont1989TCTI1","primary; history; history","00910+; 910; 910 + L. 23903 + L. 28865","; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",--.--.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,031818," ",0,0,,,0,0,0,0,,
110830,"Ist L 00960 + 06519","ITT 2, 00960 + ITT 3, 06519","deGenouillac1912ITT3; Falkenstein1956NG2; Genouillac1910-1911ITT2; Lafont1989TCTI1; Lafont2000textes-judiciaires","history; history; primary; history; history","6519; 18; 960; 960; no. 2","; ; ; ; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.03.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,001965," ",0,0,,,0,0,0,0,,
111021,"Ist L 04811","TCTI 3, 04811","deGenouillac1912ITT3; deGenouillac1912ITT3","history; primary","4811; 04811","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Ibbi-Suen.01.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S999999,,,,,0,,0,,0,,0,,BDTNS,002529," ",0,0,,,0,0,0,0,,
111022,"Ist L 04847","ITT 3, 04847","deGenouillac1912ITT3; Lafont1994RA88; Steinkeller2015NABU61","primary; history; citation","4847; 97-119 ; ","; (with reference to Civil Farmer's Almanac and Wilcke Fs Moran); ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.01.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S004664,,,,,0,,0,,0,,0,,BDTNS,002531," ",0,0,,,0,0,0,0,,
111023,"Ist L 04848","TCTI 3, 04848","deGenouillac1912ITT3; deGenouillac1912ITT3","history; primary","4848; 04848","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.06.09.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S999999,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
111024,"Ist L 04849","ITT 3, 04849",deGenouillac1912ITT3,primary,4849,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",00.00.10.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S001876,,,,,0,,0,,0,,0,,BDTNS,002533," ",0,0,,,0,0,0,0,,
111025,"Ist L 04850","ITT 3, 04850",deGenouillac1912ITT3,primary,4850,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",00.00.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S005197,,,,,0,,0,,0,,0,,BDTNS,002534," ",0,0,,,0,0,0,0,,
111026,"Ist L 04871","ITT 3, 04871","deGenouillac1912ITT3; Lambert1961RA55","primary; history","4871; 143 66","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Šū-Suen.01.09.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S003155,,,,,0,,0,,0,,0,,BDTNS,002535," ",0,0,,,0,0,0,0,,
111027,"Ist L 04901","ITT 3, 04901",deGenouillac1912ITT3,primary,4901,,"Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.09.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tablet,,,,,,,,,,,,,Sumerian,,,,,,S004994,,,,,0,,0,,0,,0,,BDTNS,002536," ",0,0,,,0,0,0,0,,
111028,"Ist L 04906","ITT 3, 04906","deGenouillac1912ITT3; Nelson1976pisandubba","primary; history","4906; no. 113","; ","Girsu (mod. Tello)","Ur III (ca. 2100-2000 BC)",Amar-Suen.08.00.00,"Arkeoloji Müzeleri, Istanbul, Turkey",Administrative,clay,tag,,,,,,,,,,,,,Sumerian,,,,,,,,,,,0,,0,,0,,0,,BDTNS,002537,"pisan-dub-ba ",0,0,,,0,0,0,0,,
